# RR vs GT - Match 9
# 2026-04-04
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings
4, Vaibhav Sooryavanshi, RR, RK, 1, 0, 31, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0
61, Yashasvi Jaiswal, RR, Darshan, 1, 0, 55, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0
3, Dhruv Jurel, RR, RK, 1, 0, 75, 5, 5, 0, 0, 0, 0, 1, 0, 1, 0
67, Riyan Parag, RR, Darshan, 1, 0, 8, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0
35, Ravindra Jadeja, RR, JD, 1, 0, 7, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0
1, Ravi Bishnoi, RR, RK, 1, 1, 0, 0, 0, 4, 9, 0, 0, 0, 0, 0, 0
9, Tushar Deshpande, RR, RK, 1, 0, 0, 0, 0, 1, 7, 0, 0, 1, 0, 0, 0
96, Shimron Hetmyer, RR, Ragu, 1, 0, 18, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0
97, Sandeep Sharma, RR, Ragu, 1, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0
78, Jofra Archer, RR, Dots, 1, 0, 1, 0, 0, 0, 10, 0, 0, 2, 0, 0, 0
17, Sai Sudharsan, GT, Rijo, 1, 0, 73, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0
49, Jos Buttler, GT, Prakash, 1, 0, 26, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0
65, Rashid Khan, GT, Darshan, 1, 0, 24, 3, 0, 1, 4, 0, 0, 0, 0, 0, 0
33, Kagiso Rabada, GT, JD, 1, 0, 23, 1, 2, 2, 11, 0, 1, 0, 0, 0, 0
16, Prasidh Krishna, GT, Rijo, 1, 0, 0, 0, 0, 1, 9, 0, 0, 1, 0, 0, 0
52, Washington Sundar, GT, Prakash, 1, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
55, Glenn Phillips, GT, Prakash, 1, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0
7, Mohammed Siraj, GT, RK, 1, 0, 0, 0, 0, 1, 11, 0, 0, 1, 0, 0, 0
